name	net_charge	identifier	smiles	value	branching_ratio	experimental_or_predicted	temperature	doi	url	remark
Perfluoroheptanoic acid	0	perfluoroheptanoicacid_0_1	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F							
Perfluoroheptanoic acid	-1	perfluoroheptanoicacid_-1_1	[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	100						
										
Perfluorooctanoic acid	-1	perfluorooctanoicacid_-1_1	[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	100						
										
Perfluorooctanesulfonic acid	-1	perfluorooctanesulfonicacid_-1_1	[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	100						
										
Perfluorodecanoic acid	-1	perfluorodecanoicacid_-1_1	[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	100						
										
Perfluorohexanoic acid	0	perfluorohexanoicacid_0_1	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F							
Perfluorohexanoic acid	-1	perfluorohexanoicacid_-1_1	[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	100						
										
Perfluorobutanesulfonate	-1	perfluorobutanesulfonate_-1_1	[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	100						
										
Perfluorohexanesulfonic acid	-1	perfluorohexanesulfonicacid_-1_1	[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	100						
										
Perfluoropentanoic acid	0	perfluoropentanoicacid_0_1	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F							
Perfluoropentanoic acid	-1	perfluoropentanoicacid_-1_1	[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	100						
										
N-nitrosodimethylamine	1	n-nitrosodimethylamine_1_1	CN(C)N=[OH+]							
N-nitrosodimethylamine	0	n-nitrosodimethylamine_0_1	CN(C)N=O	100						
										
N-nitroso-di-n-butylamine	1	n-nitroso-di-n-butylamine_1_1	CCCCN(CCCC)N=[OH+]							
N-nitroso-di-n-butylamine	0	n-nitroso-di-n-butylamine_0_1	CCCCN(CCCC)N=O	100						
										
N-nitrosodiethylamine	1	n-nitrosodiethylamine_1_1	CCN(CC)N=[OH+]							
N-nitrosodiethylamine	0	n-nitrosodiethylamine_0_1	CCN(CC)N=O	100						
										
N-nitrosodi-n-propylamine	1	n-nitrosodi-n-propylamine_1_1	CCCN(CCC)N=[OH+]							
N-nitrosodi-n-propylamine	0	n-nitrosodi-n-propylamine_0_1	CCCN(CCC)N=O	100						
										
N-nitrosomethylethylamine	1	n-nitrosomethylethylamine_1_1	CC[NH2+]CN=O							
N-nitrosomethylethylamine	0	n-nitrosomethylethylamine_0_1	CCNCN=O	100						
										
N-nitrosomorpholine	1	n-nitrosomorpholine_1_1	[OH+]=NN1CCOCC1							
N-nitrosomorpholine	0	n-nitrosomorpholine_0_1	O=NN1CCOCC1	100						
										
N-nitrosopyrrolidine	1	n-nitrosopyrrolidine_1_1	[OH+]=NN1CCCC1							
N-nitrosopyrrolidine	0	n-nitrosopyrrolidine_0_1	O=NN1CCCC1	100						
										
1-H-benzotriazole	1	1-h-benzotriazole_1_1	c1ccc2[nH][nH+]nc2c1							
1-H-benzotriazole	1	1-h-benzotriazole_1_2	c1ccc2[nH+]n[nH]c2c1							
1-H-benzotriazole	0	1-h-benzotriazole_0_1	c1ccc2[nH]nnc2c1							
1-H-benzotriazole	-1	1-h-benzotriazole_-1_1	c1ccc2[n-]nnc2c1	100						
										
4-methyl-1H-benzotriazole	2	4-methyl-1h-benzotriazole_2_1	Cc1cccc2[nH+][nH][nH+]c12							
4-methyl-1H-benzotriazole	1	4-methyl-1h-benzotriazole_1_1	Cc1cccc2n[nH][nH+]c12							
4-methyl-1H-benzotriazole	1	4-methyl-1h-benzotriazole_1_2	Cc1cccc2[nH+][nH]nc12							
4-methyl-1H-benzotriazole	0	4-methyl-1h-benzotriazole_0_1	Cc1cccc2n[nH]nc12							
4-methyl-1H-benzotriazole	-1	4-methyl-1h-benzotriazole_-1_1	Cc1cccc2n[n-]nc12	100						
										
Methylparaben	0	methylparaben_0_1	COC(=O)c1ccc(O)cc1							
Methylparaben	-1	methylparaben_-1_1	COC(=O)c1ccc([O-])cc1	100						
										
Ethylparaben	0	ethylparaben_0_1	CCOC(=O)c1ccc(O)cc1							
Ethylparaben	-1	ethylparaben_-1_1	CCOC(=O)c1ccc([O-])cc1	100						
										
Propylparaben	0	propylparaben_0_1	CCCOC(=O)c1ccc(O)cc1							
Propylparaben	-1	propylparaben_-1_1	CCCOC(=O)c1ccc([O-])cc1	100						
										
Butylparaben	0	butylparaben_0_1	CCCCOC(=O)c1ccc(O)cc1							
Butylparaben	-1	butylparaben_-1_1	CCCCOC(=O)c1ccc([O-])cc1	100						
										
Caffeine	1	caffeine_1_1	Cn1c[nH+]c2n(C)c(=O)n(C)c(=O)c12							
Caffeine	0	caffeine_0_1	Cn1cnc2n(C)c(=O)n(C)c(=O)c12	100						
										
Clofibric acid	0	clofibricacid_0_1	CC(C)(Oc1ccc(Cl)cc1)C(O)=O							
Clofibric acid	-1	clofibricacid_-1_1	CC(C)(Oc1ccc(Cl)cc1)C([O-])=O	100						
										
Gemfibrozil	0	gemfibrozil_0_1	Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1							
Gemfibrozil	-1	gemfibrozil_-1_1	Cc1ccc(C)c(OCCCC(C)(C)C([O-])=O)c1	100						
										
Atorvastatin	0	atorvastatin_0_1	CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(O)=O)-c1ccccc1							
Atorvastatin	-1	atorvastatin_-1_1	CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC([O-])=O)-c1ccccc1							
Atorvastatin	-2	atorvastatin_-2_2	CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CCC(O)CC([O-])CC([O-])=O)-c1ccccc1							
